feature_id,title,description,prd_available,trd_available,design_docs,user_stories,config_files,test_cases,risk_assessment,repo_path,priority,compliance_domains,business_impact
user_registration,User Registration System,Complete user onboarding flow with age verification and parental consent mechanisms,true,true,true,true,true,true,high,./sample_repo,critical,"coppa,gdpr,utah_social_media_act",high
content_recommendation,AI Content Recommendation Engine,Machine learning-powered content personalization with user behavior tracking and preference learning,true,true,true,true,true,true,high,./sample_repo,high,"gdpr,eu_dsa,ccpa",high
age_verification,Age Gate and Verification,Multi-step age verification system with document validation and parental consent workflows,true,true,true,true,true,true,critical,./sample_repo,critical,"coppa,utah_social_media_act,caru_guidelines",critical
geo_blocking,Geographic Content Restriction,Location-based content filtering and regional compliance enforcement system,true,true,false,true,true,true,medium,./sample_repo,medium,"eu_dsa,local_regulations",medium
data_export,User Data Portability,GDPR-compliant data export system allowing users to download their personal information,true,true,true,true,true,true,high,./sample_repo,high,"gdpr,ccpa,pipeda",high
privacy_settings,Privacy Control Dashboard,Comprehensive privacy settings interface with granular consent management,true,true,true,true,true,true,high,./sample_repo,high,"gdpr,ccpa,coppa",high
content_moderation,AI Content Moderation,Automated content screening with human review escalation and community reporting,true,true,true,true,true,true,critical,./sample_repo,critical,"eu_dsa,ncmec_reporting,local_laws",critical
messaging_system,Direct Messaging Platform,End-to-end encrypted messaging with safety features and parental controls,true,true,true,true,true,true,high,./sample_repo,high,"coppa,eu_dsa,earn_it_act",high
live_streaming,Live Video Streaming,Real-time video broadcasting with content monitoring and audience age restrictions,true,true,true,true,true,true,critical,./sample_repo,critical,"coppa,utah_social_media_act,broadcasting_laws",critical
advertising_targeting,Behavioral Ad Targeting,User behavior analysis for personalized advertising with privacy controls,true,true,true,true,true,true,critical,./sample_repo,critical,"gdpr,ccpa,coppa,ftc_guidelines",critical
push_notifications,Smart Notification System,Intelligent push notification delivery with user preference learning and quiet hours,true,true,false,true,true,true,medium,./sample_repo,medium,"utah_social_media_act,digital_wellness",low
social_connections,Friend Discovery Engine,Social graph building with privacy-first friend suggestions and connection management,true,true,true,true,true,true,high,./sample_repo,high,"coppa,gdpr,privacy_laws",medium
video_upload,Content Upload Pipeline,Multi-format video upload system with automatic compression and metadata extraction,true,true,true,true,true,true,medium,./sample_repo,medium,"copyright_laws,content_policies",medium
parental_controls,Comprehensive Parental Dashboard,Parent/guardian oversight tools with usage monitoring and content filtering,true,true,true,true,true,true,critical,./sample_repo,critical,"coppa,utah_social_media_act,family_safety",high
search_discovery,Content Search Engine,AI-powered content discovery with safe search and age-appropriate filtering,true,true,true,true,true,true,high,./sample_repo,high,"coppa,content_safety,eu_dsa",medium
analytics_tracking,User Analytics Platform,Privacy-compliant user behavior analytics with anonymization and consent management,true,true,true,true,true,true,high,./sample_repo,high,"gdpr,ccpa,analytics_privacy",high
account_deletion,Account Deactivation System,User account deletion and data purging system with retention policy compliance,true,true,true,true,true,true,high,./sample_repo,high,"gdpr,ccpa,right_to_deletion",medium
comment_system,Interactive Comment Platform,Threaded commenting system with moderation tools and sentiment analysis,true,false,true,true,true,true,medium,./sample_repo,medium,"eu_dsa,content_moderation,community_standards",medium
payment_processing,In-App Purchase System,Secure payment processing for virtual goods with parental spending controls,true,true,true,true,true,true,high,./sample_repo,high,"coppa,pci_dss,consumer_protection",high
crisis_intervention,Mental Health Support,AI-powered crisis detection with intervention resources and professional referrals,true,true,true,true,true,false,critical,./sample_repo,critical,"duty_of_care,mental_health_laws,crisis_protocols",critical
